Energy(GeV), flux(numubar/m^{2}/P.O.T/GeV), err
0.05,0,0
0.15,5.11e-06,2.6e-06
0.25,3.42e-06,1e-06
0.35,5.65e-06,1.07e-06
0.45,8.67e-06,1.13e-06
0.55,9.18e-06,9.99e-07
0.65,7.75e-06,8.27e-07
0.75,7.47e-06,7.06e-07
0.85,6.85e-06,6.12e-07
0.95,6.06e-06,5.25e-07
1.05,6.63e-06,5.16e-07
1.15,5.75e-06,4.42e-07
1.25,5.79e-06,4.24e-07
1.35,6.5e-06,4.23e-07
1.45,7.51e-06,4.3e-07
1.55,8.76e-06,4.44e-07
1.65,1.12e-05,4.93e-07
1.75,1.43e-05,5.36e-07
1.85,1.47e-05,5.23e-07
1.95,1.88e-05,5.77e-07
2.05,2.16e-05,6.04e-07
2.15,2.63e-05,6.52e-07
2.25,3.08e-05,6.89e-07
2.35,3.54e-05,7.24e-07
2.45,3.97e-05,7.5e-07
2.55,4.46e-05,7.81e-07
2.65,4.98e-05,8.14e-07
2.75,5.31e-05,8.23e-07
2.85,5.64e-05,8.34e-07
2.95,5.95e-05,8.41e-07
3.05,6.09e-05,8.37e-07
3.15,6.58e-05,8.55e-07
3.25,6.68e-05,8.46e-07
3.35,6.91e-05,8.48e-07
3.45,7.19e-05,8.54e-07
3.55,7.28e-05,8.5e-07
3.65,7.19e-05,8.31e-07
3.75,7.53e-05,8.42e-07
3.85,7.5e-05,8.26e-07
3.95,7.57e-05,8.16e-07
4.05,7.68e-05,8.12e-07
4.15,7.72e-05,8.04e-07
4.25,7.92e-05,8.02e-07
4.35,7.87e-05,7.92e-07
4.45,8.22e-05,7.98e-07
4.55,8.38e-05,7.99e-07
4.65,8.64e-05,8.07e-07
4.75,8.84e-05,8.06e-07
4.85,8.85e-05,7.98e-07
4.95,8.85e-05,7.89e-07
5.05,9.17e-05,7.97e-07
5.15,9.34e-05,7.95e-07
5.25,9.39e-05,7.9e-07
5.35,9.49e-05,7.87e-07
5.45,9.56e-05,7.83e-07
5.55,9.42e-05,7.73e-07
5.65,9.42e-05,7.64e-07
5.75,9.44e-05,7.61e-07
5.85,9.4e-05,7.54e-07
5.95,9.4e-05,7.47e-07
6.05,9.25e-05,7.37e-07
6.15,8.91e-05,7.18e-07
6.25,8.92e-05,7.13e-07
6.35,8.7e-05,7.01e-07
6.45,8.37e-05,6.82e-07
6.55,8.21e-05,6.71e-07
6.65,7.86e-05,6.54e-07
6.75,7.41e-05,6.31e-07
6.85,7.09e-05,6.14e-07
6.95,6.69e-05,5.93e-07
7.05,6.44e-05,5.78e-07
7.15,6.08e-05,5.6e-07
7.25,5.67e-05,5.37e-07
7.35,5.33e-05,5.18e-07
7.45,4.89e-05,4.91e-07
7.55,4.55e-05,4.7e-07
7.65,4.21e-05,4.49e-07
7.75,3.87e-05,4.29e-07
7.85,3.59e-05,4.1e-07
7.95,3.34e-05,3.93e-07
8.05,3.02e-05,3.71e-07
8.15,2.75e-05,3.51e-07
8.25,2.54e-05,3.34e-07
8.35,2.32e-05,3.18e-07
8.45,2.18e-05,3.07e-07
8.55,1.94e-05,2.87e-07
8.65,1.77e-05,2.73e-07
8.75,1.58e-05,2.56e-07
8.85,1.46e-05,2.45e-07
8.95,1.34e-05,2.31e-07
9.05,1.21e-05,2.19e-07
9.15,1.11e-05,2.08e-07
9.25,1.03e-05,2e-07
9.35,9.15e-06,1.86e-07
9.45,8.4e-06,1.78e-07
9.55,7.61e-06,1.68e-07
9.65,6.98e-06,1.6e-07
9.75,6.43e-06,1.53e-07
9.85,5.85e-06,1.45e-07
9.95,5.35e-06,1.38e-07
10.1,4.76e-06,1.29e-07
10.2,4.81e-06,1.3e-07
10.3,4.29e-06,1.22e-07
10.4,4.3e-06,1.22e-07
10.5,3.88e-06,1.15e-07
10.6,3.39e-06,1.08e-07
10.7,3.21e-06,1.05e-07
10.8,3.21e-06,1.05e-07
10.9,2.83e-06,9.74e-08
11,2.65e-06,9.44e-08
